case index 1 = {
los index, 0
num freq, 1298
num column, 15
Freq,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
[cm-1],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
3030, 0.0781582, 4.10504e-09, 1.31674e-10, 8.9308e-10, 7.0011e-12, 2.22745e-10, 4.70945e-10, 4.14319e-10, 5.83049e-09, 2.64683e-08, 1.9305e-06, 2.54902, 0.939997, 1.9305e-06, 280.299
3045, 0.343615, 3.4878e-09, 3.71378e-10, 3.70372e-09, 1.93986e-10, 6.18424e-10, 4.39816e-09, 4.05887e-09, 1.27735e-08, 2.6e-07, 1.9764e-06, 1.06823, 0.940159, 1.9764e-06, 296.348
3060, 0.0598979, 3.27374e-09, 9.2949e-11, 6.0897e-10, 4.17129e-12, 1.86189e-10, 3.26438e-10, 2.88348e-10, 4.49246e-09, 1.85206e-08, 1.997e-06, 2.81511, 0.94032, 1.997e-06, 277.888
3075, 0.17399, 3.53172e-09, 1.97468e-10, 1.66838e-09, 3.91297e-11, 3.794e-10, 1.50801e-09, 1.3849e-09, 7.32411e-09, 8.91905e-08, 2.01468e-06, 1.74876, 0.94048, 2.01468e-06, 287.865
3090, 0.121299, 3.29759e-09, 1.42338e-10, 1.09694e-09, 1.75531e-11, 3.01494e-10, 8.54092e-10, 7.78999e-10, 5.71001e-09, 5.03027e-08, 2.03152e-06, 2.10949, 0.940638, 2.03152e-06, 284.392
3105, 0.0168577, 2.64667e-09, 3.41662e-11, 1.43762e-10, 7.63149e-13, 1.30242e-10, 4.42716e-11, 3.56106e-11, 2.99987e-09, 2.30557e-09, 2.05045e-06, 4.08295, 0.940794, 2.05045e-06, 274.227
3120, 0.00593121, 2.01799e-09, 1.61428e-11, 4.76961e-11, 3.03247e-13, 9.27779e-11, 9.99346e-12, 7.12557e-12, 2.1849e-09, 4.62547e-10, 2.06815e-06, 5.12753, 0.940949, 2.06815e-06, 270.057
3135, 0.185498, 3.00541e-09, 1.59463e-10, 1.40651e-09, 4.43796e-11, 4.36172e-10, 1.48468e-09, 1.37104e-09, 6.53662e-09, 8.92308e-08, 2.08567e-06, 1.68471, 0.941102, 2.08567e-06, 290.239
3150, 0.44207, 2.17255e-09, 2.69761e-10, 3.16026e-09, 3.30137e-10, 8.45514e-10, 7.18908e-09, 6.75149e-09, 1.39673e-08, 4.40541e-07, 2.10377e-06, 0.816288, 0.941254, 2.10377e-06, 306.311
3165, 0.394287, 2.25683e-09, 2.31549e-10, 2.65732e-09, 2.47053e-10, 7.7518e-10, 5.97136e-09, 5.62142e-09, 1.21393e-08, 3.67745e-07, 2.12205e-06, 0.930677, 0.941404, 2.12205e-06, 304.589
